spuelgang;unit;consumption;time
1;dishwasher;1,8W;18:00
1;dishwasher;1,1W;18:05
1;dishwasher;0,3W;18:10
1;dishwasher;21,3W;18:15
1;dishwasher;2087,7W;18:20
1;dishwasher;2087,7W;18:25
1;dishwasher;2056,5W;18:30
1;dishwasher;2056,5W;18:35
1;dishwasher;74,9W;18:40
1;dishwasher;73,0W;18:45
1;dishwasher;2160,7W;18:50
1;dishwasher;2072,6W;18:55
1;dishwasher;2072,6W;19:00
1;dishwasher;89,1W;19:05
1;dishwasher;86,5W;19:10
1;dishwasher;85,6W;19:15
1;dishwasher;85,2W;19:20
1;dishwasher;77,2W;19:25
1;dishwasher;249,0W;19:30
1;dishwasher;247,9W;19:35
1;dishwasher;79,8W;19:40
1;dishwasher;248,7W;19:45
1;dishwasher;2112,5W;19:50
1;dishwasher;2112,5W;19:55
1;dishwasher;2112,5W;20:00
1;dishwasher;27,8W;20:05
1;dishwasher;0,9W;20:10
1;dishwasher;247,7W;20:15
1;dishwasher;0,6W;20:20
1;dishwasher;0,6W;20:25
1;dishwasher;0,6W;20:30
1;dishwasher;0,6W;20:35
1;dishwasher;0,6W;20:40
1;dishwasher;0,6W;20:45
1;dishwasher;0,6W;20:50
1;dishwasher;0,6W;20:55
2;dishwasher;0,2W;11:00
2;dishwasher;0,2W;11:05
2;dishwasher;2114,3W;11:10
2;dishwasher;2114,3W;11:15
2;dishwasher;2114,3W;11:20
2;dishwasher;2114,1W;11:25
2;dishwasher;73,7W;11:30
2;dishwasher;77,9W;11:35
2;dishwasher;2110,5W;11:40
2;dishwasher;2110,5W;11:45
2;dishwasher;2110,5W;11:50
2;dishwasher;2079,9W;11:55
2;dishwasher;82,6W;12:00
2;dishwasher;80,2W;12:05
2;dishwasher;78,5W;12:10
2;dishwasher;72,6W;12:15
2;dishwasher;72,9W;12:20
2;dishwasher;239,0W;12:25
2;dishwasher;71,4W;12:30
2;dishwasher;80,4W;12:35
2;dishwasher;2096,1W;12:40
2;dishwasher;2096,1W;12:45
2;dishwasher;2096,1W;12:50
2;dishwasher;2037,1W;12:55
2;dishwasher;26,9W;13:00
2;dishwasher;0,6W;13:05
2;dishwasher;241,0W;13:10
2;dishwasher;0,7W;13:15
2;dishwasher;0,7W;13:20
2;dishwasher;0,7W;13:25
2;dishwasher;0,7W;13:30
2;dishwasher;0,7W;13:35
2;dishwasher;0,7W;13:40
2;dishwasher;0,7W;13:45
2;dishwasher;0,7W;13:50
2;dishwasher;0,5W;13:55
3;dishwasher;0,0W;21:00
3;dishwasher;0,0W;21:05
3;dishwasher;0,0W;21:10
3;dishwasher;237,1W;21:15
3;dishwasher;2130,4W;21:20
3;dishwasher;2130,4W;21:25
3;dishwasher;2097,6W;21:30
3;dishwasher;2097,6W;21:35
3;dishwasher;88,6W;21:40
3;dishwasher;86,0W;21:45
3;dishwasher;2110,5W;21:50
3;dishwasher;2110,5W;21:55
3;dishwasher;2110,5W;22:00
3;dishwasher;90,0W;22:05
3;dishwasher;85,0W;22:10
3;dishwasher;88,0W;22:15
3;dishwasher;86,1W;22:20
3;dishwasher;83,8W;22:25
3;dishwasher;242,4W;22:30
3;dishwasher;82,2W;22:35
3;dishwasher;82,0W;22:40
3;dishwasher;2085,9W;22:45
3;dishwasher;2085,9W;22:50
3;dishwasher;2054,3W;22:55
3;dishwasher;2054,3W;23:00
3;dishwasher;27,2W;23:05
3;dishwasher;0,8W;23:10
3;dishwasher;243,2W;23:15
3;dishwasher;0,5W;23:20
3;dishwasher;0,5W;23:25
3;dishwasher;0,5W;23:30
3;dishwasher;0,5W;23:35
3;dishwasher;0,5W;23:40
3;dishwasher;0,5W;23:45
3;dishwasher;0,7W;23:50
3;dishwasher;0,7W;23:55
4;dishwasher;0,0W;11:00
4;dishwasher;0,3W;11:05
4;dishwasher;0,3W;11:10
4;dishwasher;0,3W;11:15
4;dishwasher;21,7W;11:20
4;dishwasher;2130,2W;11:25
4;dishwasher;2130,2W;11:30
4;dishwasher;2130,2W;11:35
4;dishwasher;89,4W;11:40
4;dishwasher;78,5W;11:45
4;dishwasher;72,6W;11:50
4;dishwasher;80,7W;11:55
4;dishwasher;72,3W;12:00
4;dishwasher;234,3W;12:05
4;dishwasher;69,2W;12:10
4;dishwasher;2083,3W;12:15
4;dishwasher;2044,7W;12:20
4;dishwasher;2044,7W;12:25
4;dishwasher;2044,7W;12:30
4;dishwasher;2044,7W;12:35
4;dishwasher;0,7W;12:40
4;dishwasher;0,7W;12:45
4;dishwasher;238,7W;12:50
4;dishwasher;238,7W;12:55
4;dishwasher;0,9W;13:00
4;dishwasher;0,9W;13:05
4;dishwasher;0,9W;13:10
4;dishwasher;0,9W;13:15
4;dishwasher;0,9W;13:20
4;dishwasher;0,9W;13:25
4;dishwasher;0,9W;13:30
4;dishwasher;0,9W;13:35
4;dishwasher;0,9W;13:40
4;dishwasher;0,9W;13:45
4;dishwasher;0,9W;13:50
4;dishwasher;0,0W;13:55
5;dishwasher;0,1W;20:00
5;dishwasher;0,1W;20:05
5;dishwasher;0,1W;20:10
5;dishwasher;0,1W;20:15
5;dishwasher;0,1W;20:20
5;dishwasher;0,1W;20:25
5;dishwasher;2092,3W;20:30
5;dishwasher;2092,3W;20:35
5;dishwasher;2109,4W;20:40
5;dishwasher;2109,4W;20:45
